index,name,imdbUrl,screentime,episodes,portrayedBy
98,Qhorin Halfhand,http://www.imdb.com/character/ch0303951/,9.3,4,"{'name': 'Simon Armstrong', 'imdbUrl': 'http://www.imdb.com/name/nm1409802/'}"
99,Orell,http://www.imdb.com/character/ch0316922/,9.0,6,"{'name': 'Mackenzie Crook', 'imdbUrl': 'http://www.imdb.com/name/nm0188871/'}"
100,Rakharo,http://www.imdb.com/character/ch0251495/,8.45,8,"{'name': 'Elyes Gabel', 'imdbUrl': 'http://www.imdb.com/name/nm1175468/'}"
101,Kevan Lannister,http://www.imdb.com/character/ch0305013/,8.3,11,"{'name': 'Ian Gelder', 'imdbUrl': 'http://www.imdb.com/name/nm0312245/'}"
102,Tyene Sand,http://www.imdb.com/character/ch0468075/,8.3,7,"{'name': 'Rosabell Laurenti Sellers', 'imdbUrl': 'http://www.imdb.com/name/nm3065809/'}"
103,Olyvar,http://www.imdb.com/character/ch0403194/,8.15,6,"{'name': 'Will Tudor', 'imdbUrl': 'http://www.imdb.com/name/nm4831584/'}"
104,Three-Eyed Raven,http://www.imdb.com/character/ch0414457/,8.0,9,"{'name': 'Struan Rodger', 'imdbUrl': 'http://www.imdb.com/name/nm0734654/'}"
105,Alton Lannister,http://www.imdb.com/character/ch0305012/,8.0,3,"{'name': 'Karl Davies', 'imdbUrl': 'http://www.imdb.com/name/nm0203801/'}"
106,Yezzan zo Qaggaz,http://www.imdb.com/character/ch0470706/,7.45,4,"{'name': 'Enzo Cilenti', 'imdbUrl': 'http://www.imdb.com/name/nm0162281/'}"
107,Doran Martell,http://www.imdb.com/character/ch0468006/,7.3,5,"{'name': 'Alexander Siddig', 'imdbUrl': 'http://www.imdb.com/name/nm0796502/'}"
108,Mirri Maz Duur,http://www.imdb.com/character/ch0305011/,7.3,3,"{'name': 'Mia Soteriou', 'imdbUrl': 'http://www.imdb.com/name/nm0815420/'}"
109,Wun Wun,http://www.imdb.com/character/ch0524621/,7.3,5,"{'name': 'Ian Whyte', 'imdbUrl': 'http://www.imdb.com/name/nm1613839/'}"
110,Syrio Forel,http://www.imdb.com/character/ch0246934/,7.15,3,"{'name': 'Miltos Yerolemou', 'imdbUrl': 'http://www.imdb.com/name/nm1115654/'}"
111,Nymeria Sand,http://www.imdb.com/character/ch0468074/,7.0,7,"{'name': 'Jessica Henwick', 'imdbUrl': 'http://www.imdb.com/name/nm3725055/'}"
112,Obara Sand,http://www.imdb.com/character/ch0468001/,6.45,7,"{'name': 'Keisha Castle-Hughes', 'imdbUrl': 'http://www.imdb.com/name/nm1095720/'}"
113,Razdal mo Eraz,http://www.imdb.com/character/ch0413591/,6.45,3,"{'name': 'George Georgiou', 'imdbUrl': 'http://www.imdb.com/name/nm1745190/'}"
114,Euron Greyjoy,http://www.imdb.com/character/ch0518715/,6.3,2,"{'name': 'Pilou Asbæk', 'imdbUrl': 'http://www.imdb.com/name/nm1561982/'}"
115,Craster,http://www.imdb.com/character/ch0300218/,6.3,5,"{'name': 'Robert Pugh', 'imdbUrl': 'http://www.imdb.com/name/nm0700059/'}"
116,Brother Ray,http://www.imdb.com/character/ch0541878/,6.3,unspecified,"{'name': 'Ian McShane', 'imdbUrl': 'http://www.imdb.com/name/nm0574534/'}"
117,Matthos Seaworth,http://www.imdb.com/character/ch0305029/,6.3,3,"{'name': 'Kerr Logan', 'imdbUrl': 'http://www.imdb.com/name/nm4523680/'}"
118,Salladhor Saan,http://www.imdb.com/character/ch0381104/,6.15,3,"{'name': 'Lucian Msamati', 'imdbUrl': 'http://www.imdb.com/name/nm1748634/'}"
119,Jory Cassel,http://www.imdb.com/character/ch0245400/,6.15,5,"{'name': 'Jamie Sives', 'imdbUrl': 'http://www.imdb.com/name/nm0803397/'}"
120,Othell Yarwyck,http://www.imdb.com/character/ch0305003/,6.15,13,"{'name': 'Brian Fortune', 'imdbUrl': 'http://www.imdb.com/name/nm1987270/'}"
121,Will,http://www.imdb.com/character/ch0171394/,6.15,unspecified,"{'name': 'Bronson Webb', 'imdbUrl': 'http://www.imdb.com/name/nm0916037/'}"
122,Septa Mordane,http://www.imdb.com/character/ch0248505/,6.0,6,"{'name': 'Susan Brown', 'imdbUrl': 'http://www.imdb.com/name/nm0114742/'}"
123,Polliver,http://www.imdb.com/character/ch0305023/,6.0,2,"{'name': 'Andy Kellegher', 'imdbUrl': 'http://www.imdb.com/name/nm3464945/'}"
124,Yohn Royce,http://www.imdb.com/character/ch0524546/,5.45,4,"{'name': 'Rupert Vansittart', 'imdbUrl': 'http://www.imdb.com/name/nm0889338/'}"
